SAs,Memories,Cost
9,33,0.011988984
9,34,0.012830271
9,35,0.013721987
9,36,0.014666983
9,37,0.015668259
9,38,0.016728973
9,39,0.017852445
9,40,0.019042169
9,41,0.020301821
9,42,0.021635268
9,43,0.023046577
9,44,0.024540025
9,45,0.026120111
9,46,0.027791567
9,47,0.029559369
9,48,0.031114462
9,49,0.03307116
9,50,0.035139598
9,51,0.037325801
9,52,0.039636103
9,53,0.042077167
9,54,0.044655998
9,55,0.047379963
9,56,0.050256808
9,57,0.05329468
9,58,0.056502148
9,59,0.05988822
9,60,0.063462375
9,61,0.067234578
9,62,0.071215315
9,63,0.075415613
9,64,0.079847074
9,65,0.084521903
9,66,0.08945294
9,67,0.094653699
9,68,0.100138398
9,69,0.105922001
9,70,0.112020259
9,71,0.118449752
9,72,0.125227934
9,73,0.132373185
9,74,0.139904859
9,75,0.147843339
9,76,0.156210098
9,77,0.165027757
9,78,0.174320155
9,79,0.184112413
9,80,0.194431013
9,81,0.205303876
9,82,0.216760444
9,83,0.228831772
9,84,0.241550623
9,85,0.254951571
9,86,0.269071106
9,87,0.283947755
9,88,0.299622205
9,89,0.316137434
9,90,0.333538856
9,91,0.351874472
9,92,0.371195031
9,93,0.39155421
9,94,0.413008798
9,95,0.4356189
9,96,0.450819149
10,10,0.001907137
10,11,0.002116474
10,12,0.002335439
10,13,0.002590467
10,14,0.002832728
10,15,0.003117573
10,16,0.003385941
10,17,0.003704128
10,18,0.004042114
10,19,0.004401119
10,20,0.004734608
10,21,0.005135537
10,22,0.005561313
10,23,0.006013433
10,24,0.006428538
10,25,0.006933064
10,26,0.007468609
10,27,0.008037001
10,28,0.008640165
10,29,0.009280127
10,30,0.009959023
10,31,0.010679099
10,32,0.011328296
10,33,0.012129863
10,34,0.012979606
10,35,0.013880257
10,36,0.014834692
10,37,0.015845938
10,38,0.016917179
10,39,0.018051764
10,40,0.01925322
10,41,0.020525254
10,42,0.021871765
10,43,0.023296857
10,44,0.024804843
10,45,0.026400263
10,46,0.028087889
10,47,0.029872741
10,48,0.031442494
10,49,0.033417949
10,50,0.035506156
10,51,0.037713192
10,52,0.040045448
10,53,0.042509641
10,54,0.04511284
10,55,0.047862473
10,56,0.050766357
10,57,0.053832706
10,58,0.057070165
10,59,0.060487821
10,60,0.064095233
10,61,0.067902456
10,62,0.071920065
10,63,0.076159185
10,64,0.080631517
10,65,0.085349374
10,66,0.09032571
10,67,0.095574155
10,68,0.101109054
10,69,0.106945502
10,70,0.11309939
10,71,0.119587444
10,72,0.126427274
10,73,0.133637422
10,74,0.141237415
10,75,0.149247821
10,76,0.157690303
10,77,0.166587687
10,78,0.175964026
10,79,0.185844671
10,80,0.196256344
10,81,0.20722722
10,82,0.218787012
10,83,0.230967062
10,84,0.243800436
10,85,0.257322027
10,86,0.271568668
10,87,0.286579247
10,88,0.302394834
10,89,0.319058815
10,90,0.336617037
10,91,0.355117959
10,92,0.374612821
10,93,0.39515582
10,94,0.416804299
10,95,0.439618954
10,96,0.454973676
11,11,0.002157061
11,12,0.002378111
11,13,0.00263579
11,14,0.002880387
11,15,0.003168197
11,16,0.003439178
11,17,0.003760678
11,18,0.004102182
11,19,0.004464921
11,20,0.004801694
11,21,0.005206783
11,22,0.005636971
11,23,0.006093767
11,24,0.006512974
11,25,0.007022696
11,26,0.007563745
11,27,0.008137964
11,28,0.008747294
11,29,0.009393781
11,30,0.010079579
11,31,0.010806956
11,32,0.011462516
11,33,0.012272161
11,34,0.01313044
11,35,0.01404011
11,36,0.015004073
11,37,0.016025382
11,38,0.017107248
11,39,0.018253052
11,40,0.019466348
11,41,0.020750878
11,42,0.022110574
11,43,0.023549576
11,44,0.025072235
11,45,0.02668313
11,46,0.028387074
11,47,0.030189129
11,48,0.031773675
11,49,0.033768057
11,50,0.035876212
11,51,0.038104269
11,52,0.040458675
11,53,0.042946206
11,54,0.045573991
11,55,0.048349524
11,56,0.051280687
11,57,0.054375768
11,58,0.057643486
11,59,0.061093007
11,60,0.064733973
11,61,0.068576527
11,62,0.072631335
11,63,0.07690962
11,64,0.081423186
11,65,0.086184453
11,66,0.091206488
11,67,0.096503042
11,68,0.102088585
11,69,0.107978346
11,70,0.114188356
11,71,0.120735489
11,72,0.127637512
11,73,0.134913132
11,74,0.142582051
11,75,0.150665019
11,76,0.159183896
11,77,0.168161713
11,78,0.17762274
11,79,0.187592558
11,80,0.198098132
11,81,0.209167896
11,82,0.220831836
11,83,0.233121581
11,84,0.246070504
11,85,0.259713822
11,86,0.274088714
11,87,0.289234432
11,88,0.305192433
11,89,0.322006515
11,90,0.339722962
11,91,0.358390698
11,92,0.378061459
11,93,0.398789966
11,94,0.420634123
11,95,0.443655221
11,96,0.459165897
12,12,0.002421226
12,13,0.002681583
12,14,0.002928542
12,15,0.003219348
12,16,0.003492969
12,17,0.003817816
12,18,0.004162874
12,19,0.004529386
12,20,0.004869477
12,21,0.005278768
12,22,0.005713412
12,23,0.006174931
12,24,0.00659828
12,25,0.007113251
12,26,0.007659857
12,27,0.008239959
12,28,0.008855516
12,29,0.009508592
12,30,0.01020136
12,31,0.010936107
12,32,0.01159809
12,33,0.012415889
12,34,0.013282786
12,35,0.014201562
12,36,0.015175143
12,37,0.016206609
12,38,0.0172992
12,39,0.018456326
12,40,0.019681573
12,41,0.020978714
12,42,0.022351718
12,43,0.023804758
12,44,0.025342224
12,45,0.026968735
12,46,0.028689145
12,47,0.030508562
12,48,0.032108033
12,49,0.034121513
12,50,0.036249796
12,51,0.038499065
12,52,0.04087582
12,53,0.043386899
12,54,0.046039491
12,55,0.048841155
12,56,0.051799842
12,57,0.054923911
12,58,0.058222158
12,59,0.061703827
12,60,0.065378646
12,61,0.069256844
12,62,0.073349182
12,63,0.07766698
12,64,0.082222145
12,65,0.087027206
12,66,0.092095345
12,67,0.097440434
12,68,0.103077069
12,69,0.109020615
12,70,0.115287244
12,71,0.121893979
12,72,0.128858746
12,73,0.136200419
12,74,0.143938873
12,75,0.152095048
12,76,0.160690997
12,77,0.169749961
12,78,0.179296428
12,79,0.189356213
12,80,0.199956526
12,81,0.21112606
12,82,0.222895078
12,83,0.2352955
12,84,0.248361009
12,85,0.262127149
12,86,0.276631447
12,87,0.291913523
12,88,0.308015227
12,89,0.324980772
12,90,0.342856884
12,91,0.361692958
12,92,0.381541227
12,93,0.402456946
12,94,0.424498584
12,95,0.447728036
12,96,0.463396163
13,13,0.002727853
13,14,0.002977198
13,15,0.003271031
13,16,0.00354732
13,17,0.00387555
13,18,0.004224199
13,19,0.004594521
13,20,0.004937963
13,21,0.0053515
13,22,0.005790644
13,23,0.006256933
13,24,0.006684466
13,25,0.007204736
13,26,0.007756955
13,27,0.008342998
13,28,0.008964843
13,29,0.009624572
13,30,0.010324376
13,31,0.011066564
13,32,0.011735031
13,33,0.012561063
13,34,0.013436659
13,35,0.014364626
13,36,0.015347915
13,37,0.016389634
13,38,0.017493051
13,39,0.018661605
